year,month,date,incoming,awarded,count_series,bid_to_cover,incoming_perserie,kuasi_changes,bfcius_index,move_index,usyoy_inflation_survey,idyoy_inflation_survey,bbbcorpspread,emusdindex,finstressidx
2010,1,2010-01-01,25.7517,12.95,8,1.988548263,3.2189625,-43.46947,-0.167333333,93.58571429,2.8,3.51,2.327,98.10054211,-0.2603
2010,2,2010-02-01,22.577,8.625,8,2.617623188,2.822125,-0.0938,-0.14025,86.195,2.3,3.97,2.344736842,98.80505,-0.136033333
2010,3,2010-03-01,30.92,13.275,7,2.329190207,4.417142857,28.54778,0.323347826,79.99130435,2.4,3.7,2.180909091,97.57405455,-0.44612
2010,4,2010-04-01,45.4335,12.32,8,3.687784091,5.6791875,9.55625,0.343454545,85.98181818,2.4,3.71,1.964761905,96.35434286,-0.43984
2010,5,2010-05-01,35.074,10.7,8,3.277943925,4.38425,18.12805,-0.919190476,102.7619048,2,4.18,2.282631579,98.24905556,0.617725
2010,6,2010-06-01,39.633,13.075,8,3.031204589,4.954125,36.62512,-1.273772727,97.16363636,1.2,4.46,2.584545455,98.60866818,0.629025
2010,7,2010-07-01,24.5121,9.45,8,2.593873016,3.0640125,-14.64813,-0.923863636,81.34090909,1.2,5.73,2.536363636,98.24374286,0.42194
2010,8,2010-08-01,33.254,8,8,4.15675,4.15675,4.80765,-0.636954545,90.15909091,1.1,6.69,2.414,97.668455,0.314775
2010,9,2010-09-01,31.856,5.8,8,5.492413793,3.982,38.4755,-0.446045455,97.11818182,1.2,5.94,2.385789474,96.90283333,0.029925
2010,10,2010-10-01,13.4322,3.2,4,4.1975625,3.35805,29.16236,-0.262238095,89.35238095,1.3,5.85,2.308095238,95.146235,-0.14666
2010,11,2010-11-01,8.5895,2.5,4,3.4358,2.147375,20.32182,-0.218181818,94.41363636,1.1,5.97,2.243809524,95.071,-0.1638
2010,12,2010-12-01,4.877,2,4,2.4385,1.21925,86.47603,-0.101217391,110.6347826,1.3,6.71,2.147142857,95.229665,-0.27508
2011,1,2011-01-01,27.015,11.25,8,2.401333333,3.376875,-24.46932,0.041095238,99.04285714,1.6,6.81,2.048571429,94.10261,-0.3688
2011,2,2011-02-01,33.6728,12,8,2.806066667,4.2091,-13.79219,0.1467,97.5,2,7.13,1.929444444,93.86562941,-0.37935
